time,cpu@tsung_controller@Robbys-MacBook-Pro-2 
0,6.750721767299472 
10,20.37684052907412 
20,26.97007481296758 
30,26.97007481296758 
40,28.30235749033304 
50,31.707621304727457 
60,31.762065095398427 
70,34.91707195410899 
80,36.15960099750624 
90,39.68570715889249 
100,41.26667497818227 
110,41.94260485651214 
120,42.81261688068819 
130,43.32044405638019 
140,43.845003737851975 
150,43.845003737851975 
160,43.845003737851975 
170,43.845003737851975 
180,43.845003737851975 
190,43.845003737851975 
200,43.845003737851975 
210,43.845003737851975 
220,43.845003737851975 
230,43.845003737851975 
