time,finish_users_count,users_count 
0,79.9,172.4 
10,190.4,193.8 
20,189.5,192.3 
30,220,248.2 
40,256.4,250.6 
50,236.9,235.1 
60,264.1,291.5 
70,291.7,285.4 
80,283.9,279.4 
90,295.4,317 
100,321.1,317.9 
110,307.4,316.3 
120,350.4,368.8 
130,362.8,358.3 
140,348.3,347.9 
150,385.9,407.4 
160,389,380.6 
170,383.5,390.5 
180,198.6,1.8 
190,0,0 
200,0,0 
210,0,0 
220,0,0 
230,0,0 
230,0,0 
