time,session 
10,5005.775146484375 
20,5005.775146484375 
30,5005.775146484375 
40,5005.775146484375 
50,5005.775146484375 
60,5005.775146484375 
70,5005.775146484375 
80,5005.775146484375 
90,5005.775146484375 
100,5005.775146484375 
110,5005.775146484375 
120,5005.775146484375 
130,5005.775146484375 
140,5005.775146484375 
150,5005.775146484375 
160,5005.775146484375 
170,5005.775146484375 
180,5005.775146484375 
190,5005.775146484375 
200,5005.775146484375 
210,5005.775146484375 
220,5005.775146484375 
230,5005.775146484375 
240,5005.775146484375 
250,5005.775146484375 
260,5005.775146484375 
270,5005.775146484375 
280,5005.775146484375 
290,5005.775146484375 
300,5005.775146484375 
309,5005.775146484375 
