time,page 
0,1.3238390971088172 
10,2.474952242192013 
20,2.7821921847337046 
30,2.431883316022512 
40,2.542036227435494 
50,2.9339297327418485 
60,2.516134166716114 
70,2.694334549469974 
80,2.7183544938913453 
90,2.827816962697496 
100,2.8692986612724334 
110,3.004359533414578 
120,2.784098543598166 
130,2.8879524743027796 
140,2.7749159288919585 
150,2.7182512602115367 
160,2.9695705244547064 
170,2.5700271554417022 
180,2.654603488068917 
190,3.4063271200266967 
200,3.353816384372128 
210,3.2374270016882245 
220,3.1454580289649683 
230,2.8572017419882783 
240,3.3127627502544112 
250,2.956025186374311 
260,2.362574413648131 
270,0 
280,0 
290,0 
300,0 
309,0 
