time,connect,request 
0,998.1,401.5 
10,1002.3,2582.2 
20,0,3999.6 
30,0,4000.6 
40,0,3998.8 
50,0,3999.9 
60,0,4000.1 
70,0,3999.2 
80,0,3999.2 
90,0,3999.7 
100,0,3998.9 
110,0,3999.4 
120,0,3999.4 
130,0,4000.3 
140,0,3999.2 
150,0,3999.2 
160,0,3999.4 
170,0,3999.2 
180,0,3999.2 
190,0,4000.5 
200,0,3999.2 
210,0,3999.2 
220,0,3999.2 
230,0,3807 
240,0,3998.6 
250,0,3660.2 
260,0,1541.1 
270,0,0 
280,0,0 
290,0,0 
300,0,0 
309,0,0 
