time,cpu@tsung_controller@Robbys-MacBook-Pro-2 
0,6.750721767299472 
10,6.750721767299472 
20,6.750721767299472 
30,6.750721767299472 
40,6.750721767299472 
50,6.750721767299472 
60,6.750721767299472 
70,6.750721767299472 
80,6.750721767299472 
90,6.750721767299472 
100,6.750721767299472 
110,6.750721767299472 
120,6.750721767299472 
130,6.750721767299472 
140,6.750721767299472 
150,6.750721767299472 
160,6.750721767299472 
170,6.750721767299472 
180,6.750721767299472 
190,6.750721767299472 
200,6.750721767299472 
210,6.750721767299472 
220,6.750721767299472 
230,6.750721767299472 
