time,cpu@localhost,cpu@tsung_controller@ip-172-31-23-133 
10,15.14238773274918,13.152173913043477 
20,21.189591078066915,22.094361334867664 
30,17.386777719937534,17.215256008359457 
40,16.666666666666664,16.86652763295099 
50,16.657894736842106,16.850393700787404 
60,18.21252273317745,17.849686847599163 
70,17.618059159314996,17.70049312224241 
80,17.68831168831169,17.572134130491293 
90,18.356235416126523,18.313878080415044 
100,18.84396060134785,18.67047520124643 
110,18.87331256490135,19.2039286637374 
120,18.487830139823924,18.377956849493113 
130,18.63225806451613,18.67905056759546 
140,18.80297970716671,18.37893649974187 
150,18.460738429537184,18.83720930232558 
160,19.01189860320745,18.97222943161173 
170,18.662880743417656,18.851403553953126 
180,18.55883877656817,18.401245782507136 
190,19.17312661498708,19.058701836048616 
200,19.44084908102511,19.16883116883117 
210,20.4742478327384,20.535714285714285 
220,19.406041986687146,19.826486348558305 
230,19.25831202046036,19.1745706229172 
240,19.413731036256106,19.51219512195122 
250,19.41448382126348,19.180201082753285 
260,20.37657982976528,20.71979434447301 
270,9.972017298397354,12.081736909323118 
280,0.02498750624687656,0.02501250625312656 
290,0.02498750624687656,0.025 
300,0.024993751562109475,0.025 
309,0.0,0.0 
