time,200 
0,708 
10,2628 
20,4514 
30,6692 
40,9249 
50,11654 
60,14293 
70,17241 
80,20097 
90,23073 
100,26202 
110,29310 
120,32822 
130,36437 
140,39934 
150,43662 
160,47461 
170,51355 
180,53373 
190,53373 
200,53373 
210,53373 
220,53373 
230,53373 
230,53373 
