time,session 
10,0.2 
20,0.2 
30,0 
40,0 
50,0 
60,0 
70,0 
80,0 
90,0 
100,0 
110,0 
120,0 
130,0 
140,0 
150,0 
160,0 
170,0 
180,0 
190,0 
200,0 
210,0 
220,0 
230,0 
240,0 
250,995.3 
260,1004.3 
270,0 
280,0 
290,0 
300,0 
309,0 
