time,load@tsung_controller@Robbys-MacBook-Pro-2 
0,1.1796875 
10,1.1796875 
20,1.1796875 
30,1.1796875 
40,1.1796875 
50,1.1796875 
60,1.1796875 
70,1.1796875 
80,1.1796875 
90,1.1796875 
100,1.1796875 
110,1.1796875 
120,1.1796875 
130,1.1796875 
140,1.1796875 
150,1.1796875 
160,1.1796875 
170,1.1796875 
180,1.1796875 
190,1.1796875 
200,1.1796875 
210,1.1796875 
220,1.1796875 
230,1.1796875 
